,Last Name,Party,Full Name,ID
2456,SPANBERGER,D,"Rep. Spanberger, Abigail Davis [D-VA-7]",2456
1724,KING,R,"Rep. King, Steve [R-IA-4]",1724
2420,KIM,D,"Rep. Kim, Andy [D-NJ-3]",2420
635,KING,R,"Rep. King, Peter T. [R-NY-2]",635
2270,BABIN,R,"Rep. Babin, Brian [R-TX-36]",2270
2453,LURIA,D,"Rep. Luria, Elaine G. [D-VA-2]",2453
2329,HIGGINS,R,"Rep. Higgins, Clay [R-LA-3]",2329
2323,ROONEY,R,"Rep. Rooney, Francis [R-FL-19]",2323
616,KAPTUR,D,"Rep. Kaptur, Marcy [D-OH-9]",616
511,HASTINGS,D,"Rep. Hastings, Alcee L. [D-FL-20]",511
2314,GAETZ,R,"Rep. Gaetz, Matt [R-FL-1]",2314
2318,MURPHY,D,"Rep. Murphy, Stephanie N. [D-FL-7]",2318
2317,LAWSON,D,"Rep. Lawson, Al, Jr. [D-FL-5]",2317
2151,COLLINS,R,"Rep. Collins, Chris [R-NY-27]",2151
2407,SLOTKIN,D,"Rep. Slotkin, Elissa [D-MI-8]",2407
2321,CRIST,D,"Rep. Crist, Charlie [D-FL-13]",2321
1915,POSEY,R,"Rep. Posey, Bill [R-FL-8]",1915
1942,TONKO,D,"Rep. Tonko, Paul [D-NY-20]",1942
2159,CARTWRIGHT,D,"Rep. Cartwright, Matt [D-PA-8]",2159
2262,RICE,D,"Rep. Rice, Kathleen M. [D-NY-4]",2262
1970,CHU,D,"Rep. Chu, Judy [D-CA-27]",1970
688,LEWIS,D,"Rep. Lewis, John [D-GA-5]",688
1757,SÁNCHEZ,D,"Rep. Sánchez, Linda T. [D-CA-38]",1757
1510,PASCRELL,D,"Rep. Pascrell, Bill, Jr. [D-NJ-9]",1510
303,DOGGETT,D,"Rep. Doggett, Lloyd [D-TX-35]",303
2362,GOMEZ,D,"Rep. Gomez, Jimmy [D-CA-34]",2362
2309,PANETTA,D,"Rep. Panetta, Jimmy [D-CA-20]",2309
2298,EVANS,D,"Rep. Evans, Dwight [D-PA-3]",2298
2267,BOYLE,D,"Rep. Boyle, Brendan F. [D-PA-2]",2267
1583,LARSON,D,"Rep. Larson, John B. [D-CT-1]",1583
1988,SEWELL,D,"Rep. Sewell, Terri A. [D-AL-7]",1988
1477,DAVIS,D,"Rep. Davis, Danny K. [D-IL-7]",1477
1794,HIGGINS,D,"Rep. Higgins, Brian [D-NY-26]",1794
99,BLUMENAUER,D,"Rep. Blumenauer, Earl [D-OR-3]",99
2147,HORSFORD,D,"Rep. Horsford, Steven [D-NV-4]",2147
2134,KILDEE,D,"Rep. Kildee, Daniel T. [D-MI-5]",2134
729,MALONEY,D,"Rep. Maloney, Carolyn B. [D-NY-12]",729
2272,BEYER,D,"Rep. Beyer, Donald S., Jr. [D-VA-8]",2272
2111,LOWENTHAL,D,"Rep. Lowenthal, Alan S. [D-CA-47]",2111
1602,NAPOLITANO,D,"Rep. Napolitano, Grace F. [D-CA-32]",1602
2196,CLARK,D,"Rep. Clark, Katherine M. [D-MA-5]",2196
1526,SHERMAN,D,"Rep. Sherman, Brad [D-CA-30]",1526
1982,REED,R,"Rep. Reed, Tom [R-NY-23]",1982
1654,CLAY,D,"Rep. Clay, Wm. Lacy [D-MO-1]",1654
2094,MASSIE,R,"Rep. Massie, Thomas [R-KY-4]",2094
1635,SCHIFF,D,"Rep. Schiff, Adam B. [D-CA-28]",1635
279,DEFAZIO,D,"Rep. DeFazio, Peter A. [D-OR-4]",279
2359,GIANFORTE,R,"Rep. Gianforte, Greg [R-MT-At Large]",2359
2222,RADEWAGEN,R,"Del. Radewagen, Aumua Amata Coleman [R-AS-At Large]",2222
2411,HAGEDORN,R,"Rep. Hagedorn, Jim [R-MN-1]",2411
2244,ABRAHAM,R,"Rep. Abraham, Ralph Lee [R-LA-5]",2244
2148,MENG,D,"Rep. Meng, Grace [D-NY-6]",2148
1927,PINGREE,D,"Rep. Pingree, Chellie [D-ME-1]",1927
1809,RODGERS,R,"Rep. McMorris Rodgers, Cathy [R-WA-5]",1809
2408,LEVIN,D,"Rep. Levin, Andy [D-MI-9]",2408
2172,KENNEDY,D,"Rep. Kennedy, Joseph P., III [D-MA-4]",2172
2246,MOULTON,D,"Rep. Moulton, Seth [D-MA-6]",2246
1504,MCGOVERN,D,"Rep. McGovern, James P. [D-MA-2]",1504
2355,GALLAGHER,R,"Rep. Gallagher, Mike [R-WI-8]",2355
2378,COX,D,"Rep. Cox, TJ [D-CA-21]",2378
1931,LUETKEMEYER,R,"Rep. Luetkemeyer, Blaine [R-MO-3]",1931
1777,WASSERMAN SCHULTZ,D,"Rep. Wasserman Schultz, Debbie [D-FL-23]",1777
1686,LYNCH,D,"Rep. Lynch, Stephen F. [D-MA-8]",1686
1498,KIND,D,"Rep. Kind, Ron [D-WI-3]",1498
1913,HIMES,D,"Rep. Himes, James A. [D-CT-4]",1913
2419,VAN DREW,D,"Rep. Van Drew, Jefferson [D-NJ-2]",2419
2404,TRAHAN,D,"Rep. Trahan, Lori [D-MA-3]",2404
2418,PAPPAS,D,"Rep. Pappas, Chris [D-NH-1]",2418
1860,SMITH,R,"Rep. Smith, Adrian [R-NE-3]",1860
2269,HURD,R,"Rep. Hurd, Will [R-TX-23]",2269
1506,MEEKS,D,"Rep. Meeks, Gregory W. [D-NY-5]",1506
2322,MAST,R,"Rep. Mast, Brian J. [R-FL-18]",2322
2072,DUFFY,R,"Rep. Duffy, Sean P. [R-WI-7]",2072
2455,CLINE,R,"Rep. Cline, Ben [R-VA-6]",2455
2251,DINGELL,D,"Rep. Dingell, Debbie [D-MI-12]",2251
2311,BARRAGAN,D,"Rep. Barragan, Nanette Diaz [D-CA-44]",2311
1907,KIRKPATRICK,D,"Rep. Kirkpatrick, Ann [D-AZ-2]",1907
2448,ESCOBAR,D,"Rep. Escobar, Veronica [D-TX-16]",2448
2421,MALINOWSKI,D,"Rep. Malinowski, Tom [D-NJ-7]",2421
1590,SIMPSON,R,"Rep. Simpson, Michael K. [R-ID-2]",1590
2295,LAHOOD,R,"Rep. LaHood, Darin [R-IL-18]",2295
2390,MUCARSEL-POWELL,D,"Rep. Mucarsel-Powell, Debbie [D-FL-26]",2390
2417,ARMSTRONG,R,"Rep. Armstrong, Kelly [R-ND-At Large]",2417
2450,GARCIA,D,"Rep. Garcia, Sylvia R. [D-TX-29]",2450
1256,YOUNG,R,"Rep. Young, Don [R-AK-At Large]",1256
2416,GUEST,R,"Rep. Guest, Michael [R-MS-3]",2416
2425,LEE,D,"Rep. Lee, Susie [D-NV-3]",2425
2128,WALORSKI,R,"Rep. Walorski, Jackie [R-IN-2]",2128
1688,WILSON,R,"Rep. Wilson, Joe [R-SC-2]",1688
1879,WELCH,D,"Rep. Welch, Peter [D-VT-At Large]",1879
2070,GRIFFITH,R,"Rep. Griffith, H. Morgan [R-VA-9]",2070
2071,HERRERA BEUTLER,R,"Rep. Herrera Beutler, Jaime [R-WA-3]",2071
2352,MCEACHIN,D,"Rep. McEachin, A. Donald [D-VA-4]",2352
2259,WATSON COLEMAN,D,"Rep. Watson Coleman, Bonnie [D-NJ-12]",2259
599,JOHNSON,D,"Rep. Johnson, Eddie Bernice [D-TX-30]",599
2252,LAWRENCE,D,"Rep. Lawrence, Brenda L. [D-MI-14]",2252
2023,RICHMOND,D,"Rep. Richmond, Cedric L. [D-LA-2]",2023
2153,BEATTY,D,"Rep. Beatty, Joyce [D-OH-3]",2153
1761,BUTTERFIELD,D,"Rep. Butterfield, G. K. [D-NC-1]",1761
1996,BASS,D,"Rep. Bass, Karen [D-CA-37]",1996
2405,PRESSLEY,D,"Rep. Pressley, Ayanna [D-MA-7]",2405
2294,KELLY,R,"Rep. Kelly, Trent [R-MS-1]",2294
186,CHABOT,R,"Rep. Chabot, Steve [R-OH-1]",186
2415,STAUBER,R,"Rep. Stauber, Pete [R-MN-8]",2415
2347,GONZALEZ-COLON,R,"Resident Commissioner González-Colón, Jenniffer [R-PR-At Large]",2347
2333,BERGMAN,R,"Rep. Bergman, Jack [R-MI-1]",2333
2402,WATKINS,R,"Rep. Watkins, Steve [R-KS-2]",2402
1184,VELAZQUEZ,D,"Rep. Velazquez, Nydia M. [D-NY-7]",1184
1954,ROE,R,"Rep. Roe, David P. [R-TN-1]",1954
2315,DUNN,R,"Rep. Dunn, Neal P. [R-FL-2]",2315
2326,BANKS,R,"Rep. Banks, Jim [R-IN-3]",2326
2363,CURTIS,R,"Rep. Curtis, John R. [R-UT-3]",2363
2440,BURCHETT,R,"Rep. Burchett, Tim [R-TN-2]",2440
2385,CROW,D,"Rep. Crow, Jason [D-CO-6]",2385
1838,BILIRAKIS,R,"Rep. Bilirakis, Gus M. [R-FL-12]",1838
2435,JOYCE,R,"Rep. Joyce, John [R-PA-13]",2435
2113,PETERS,D,"Rep. Peters, Scott H. [D-CA-52]",2113
2372,HERN,R,"Rep. Hern, Kevin [R-OK-1]",2372
1836,COURTNEY,D,"Rep. Courtney, Joe [D-CT-2]",1836
2008,WOODALL,R,"Rep. Woodall, Rob [R-GA-7]",2008
2354,JAYAPAL,D,"Rep. Jayapal, Pramila [D-WA-7]",2354
2414,OMAR,D,"Rep. Omar, Ilhan [D-MN-5]",2414
2394,FINKENAUER,D,"Rep. Finkenauer, Abby [D-IA-1]",2394
2447,FLETCHER,D,"Rep. Fletcher, Lizzie [D-TX-7]",2447
1751,BURGESS,R,"Rep. Burgess, Michael C. [R-TX-26]",1751
2165,WILLIAMS,R,"Rep. Williams, Roger [R-TX-25]",2165
2349,GONZALEZ,D,"Rep. Gonzalez, Vicente [D-TX-15]",2349
1805,CONAWAY,R,"Rep. Conaway, K. Michael [R-TX-11]",1805
2166,VEASEY,D,"Rep. Veasey, Marc A. [D-TX-33]",2166
2065,FLORES,R,"Rep. Flores, Bill [R-TX-17]",2065
1804,MCCAUL,R,"Rep. McCaul, Michael T. [R-TX-10]",1804
2449,ROY,R,"Rep. Roy, Chip [R-TX-21]",2449
2328,MARSHALL,R,"Rep. Marshall, Roger [R-KS-1]",2328
2100,LAMALFA,R,"Rep. LaMalfa, Doug [R-CA-1]",2100
2358,ESTES,R,"Rep. Estes, Ron [R-KS-4]",2358
1846,LOEBSACK,D,"Rep. Loebsack, David [D-IA-2]",1846
1588,SCHAKOWSKY,D,"Rep. Schakowsky, Janice D. [D-IL-9]",1588
1832,MCNERNEY,D,"Rep. McNerney, Jerry [D-CA-9]",1832
355,ESHOO,D,"Rep. Eshoo, Anna G. [D-CA-18]",355
316,DOYLE,D,"Rep. Doyle, Michael F. [D-PA-18]",316
1479,DEGETTE,D,"Rep. DeGette, Diana [D-CO-1]",1479
1814,MATSUI,D,"Rep. Matsui, Doris O. [D-CA-6]",1814
2324,FERGUSON,R,"Rep. Ferguson, A. Drew, IV [R-GA-3]",2324
1528,SMITH,D,"Rep. Smith, Adam [D-WA-9]",1528
2308,KHANNA,D,"Rep. Khanna, Ro [D-CA-17]",2308
1890,SPEIER,D,"Rep. Speier, Jackie [D-CA-14]",1890
1653,MCCOLLUM,D,"Rep. McCollum, Betty [D-MN-4]",1653
2092,BONAMICI,D,"Rep. Bonamici, Suzanne [D-OR-1]",2092
2055,CICILLINE,D,"Rep. Cicilline, David N. [D-RI-1]",2055
2393,SAN NICOLAS,D,"Del. San Nicolas, Michael F. Q. [D-GU-At Large]",2393
2160,RICE,R,"Rep. Rice, Tom [R-SC-7]",2160
1986,ROBY,R,"Rep. Roby, Martha [R-AL-2]",1986
1791,FOXX,R,"Rep. Foxx, Virginia [R-NC-5]",1791
1952,THOMPSON,R,"Rep. Thompson, Glenn [R-PA-15]",1952
1922,GUTHRIE,R,"Rep. Guthrie, Brett [R-KY-2]",1922
2197,BYRNE,R,"Rep. Byrne, Bradley [R-AL-1]",2197
2276,GROTHMAN,R,"Rep. Grothman, Glenn [R-WI-6]",2276
2239,ALLEN,R,"Rep. Allen, Rick W. [R-GA-12]",2239
2444,TAYLOR,R,"Rep. Taylor, Van [R-TX-3]",2444
2439,JOHNSON,R,"Rep. Johnson, Dusty [R-SD-At Large]",2439
1987,BROOKS,R,"Rep. Brooks, Mo [R-AL-5]",1987
2446,WRIGHT,R,"Rep. Wright, Ron [R-TX-6]",2446
2379,HILL,D,"Rep. Hill, Katie [D-CA-25]",2379
2112,VARGAS,D,"Rep. Vargas, Juan [D-CA-51]",2112
1950,SCHRADER,D,"Rep. Schrader, Kurt [D-OR-5]",1950
2371,MORELLE,D,"Rep. Morelle, Joseph D. [D-NY-25]",2371
2337,BACON,R,"Rep. Bacon, Don [R-NE-2]",2337
2400,BAIRD,R,"Rep. Baird, James R. [R-IN-4]",2400
2103,COOK,R,"Rep. Cook, Paul [R-CA-8]",2103
2237,HICE,R,"Rep. Hice, Jody B. [R-GA-10]",2237
256,CUMMINGS,D,"Rep. Cummings, Elijah E. [D-MD-7]",256
2051,KELLY,R,"Rep. Kelly, Mike [R-PA-16]",2051
854,NEAL,D,"Rep. Neal, Richard E. [D-MA-1]",854
1468,BRADY,R,"Rep. Brady, Kevin [R-TX-8]",1468
2152,WENSTRUP,R,"Rep. Wenstrup, Brad R. [R-OH-2]",2152
1840,BUCHANAN,R,"Rep. Buchanan, Vern [R-FL-16]",1840
2143,HOLDING,R,"Rep. Holding, George [R-NC-2]",2143
2124,SCHNEIDER,D,"Rep. Schneider, Bradley Scott [D-IL-10]",2124
2427,OCASIO-CORTEZ,D,"Rep. Ocasio-Cortez, Alexandria [D-NY-14]",2427
2014,KINZINGER,R,"Rep. Kinzinger, Adam [R-IL-16]",2014
2451,ALLRED,D,"Rep. Allred, Colin Z. [D-TX-32]",2451
2376,STANTON,D,"Rep. Stanton, Greg [D-AZ-9]",2376
2223,HILL,R,"Rep. Hill, J. French [R-AR-2]",2223
2129,BROOKS,R,"Rep. Brooks, Susan W. [R-IN-5]",2129
2356,CHENEY,R,"Rep. Cheney, Liz [R-WY-At Large]",2356
1997,TIPTON,R,"Rep. Tipton, Scott  R. [R-CO-3]",1997
2161,WEBER,R,"Rep. Weber, Randy K., Sr. [R-TX-14]",2161
2170,HECK,D,"Rep. Heck, Denny [D-WA-10]",2170
2401,PENCE,R,"Rep. Pence, Greg [R-IN-6]",2401
2454,RIGGLEMAN,R,"Rep. Riggleman, Denver [R-VA-5]",2454
2296,DAVIDSON,R,"Rep. Davidson, Warren [R-OH-8]",2296
2342,ESPAILLAT,D,"Rep. Espaillat, Adriano [D-NY-13]",2342
2384,NEGUSE,D,"Rep. Neguse, Joe [D-CO-2]",2384
2313,BLUNT ROCHESTER,D,"Rep. Blunt Rochester, Lisa [D-DE-At Large]",2313
2101,HUFFMAN,D,"Rep. Huffman, Jared [D-CA-2]",2101
1888,FOSTER,D,"Rep. Foster, Bill [D-IL-11]",1888
1042,SERRANO,D,"Rep. Serrano, Jose E. [D-NY-15]",1042
1854,SARBANES,D,"Rep. Sarbanes, John P. [D-MD-3]",1854
1959,CONNOLLY,D,"Rep. Connolly, Gerald E. [D-VA-11]",1959
2227,DESAULNIER,D,"Rep. DeSaulnier, Mark [D-CA-11]",2227
2110,TAKANO,D,"Rep. Takano, Mark [D-CA-41]",2110
2383,LEVIN,D,"Rep. Levin, Mike [D-CA-49]",2383
1037,SCOTT,D,"Rep. Scott, Robert C. ""Bobby"" [D-VA-3]",1037
1818,SIRES,D,"Rep. Sires, Albio [D-NJ-8]",1818
2106,BROWNLEY,D,"Rep. Brownley, Julia [D-CA-26]",2106
1790,CLEAVER,D,"Rep. Cleaver, Emanuel [D-MO-5]",1790
701,LOFGREN,D,"Rep. Lofgren, Zoe [D-CA-19]",701
2032,HARTZLER,R,"Rep. Hartzler, Vicky [R-MO-4]",2032
2167,VELA,D,"Rep. Vela, Filemon [D-TX-34]",2167
1976,DEUTCH,D,"Rep. Deutch, Theodore E. [D-FL-22]",1976
2264,KATKO,R,"Rep. Katko, John [R-NY-24]",2264
2412,CRAIG,D,"Rep. Craig, Angie [D-MN-2]",2412
1728,RUPPERSBERGER,D,"Rep. Ruppersberger, C. A. Dutch [D-MD-2]",1728
1967,QUIGLEY,D,"Rep. Quigley, Mike [D-IL-5]",1967
1989,CRAWFORD,R,"Rep. Crawford, Eric A. ""Rick"" [R-AR-1]",1989
2230,LIEU,D,"Rep. Lieu, Ted [D-CA-33]",2230
2409,STEVENS,D,"Rep. Stevens, Haley M. [D-MI-11]",2409
2171,POCAN,D,"Rep. Pocan, Mark [D-WI-2]",2171
2432,DEAN,D,"Rep. Dean, Madeleine [D-PA-4]",2432
2367,LAMB,D,"Rep. Lamb, Conor [D-PA-17]",2367
1668,LANGEVIN,D,"Rep. Langevin, James R. [D-RI-2]",1668
1940,TITUS,D,"Rep. Titus, Dina [D-NV-1]",1940
1973,GARAMENDI,D,"Rep. Garamendi, John [D-CA-3]",1973
1774,COSTA,D,"Rep. Costa, Jim [D-CA-16]",1774
2025,KEATING,D,"Rep. Keating, William R. [D-MA-9]",2025
2238,LOUDERMILK,R,"Rep. Loudermilk, Barry [R-GA-11]",2238
2253,EMMER,R,"Rep. Emmer, Tom [R-MN-6]",2253
2131,BARR,R,"Rep. Barr, Andy [R-KY-6]",2131
2018,BUCSHON,R,"Rep. Bucshon, Larry [R-IN-8]",2018
2307,BIGGS,R,"Rep. Biggs, Andy [R-AZ-5]",2307
2361,NORMAN,R,"Rep. Norman, Ralph [R-SC-5]",2361
281,DELAURO,D,"Rep. DeLauro, Rosa L. [D-CT-3]",281
2433,HOULAHAN,D,"Rep. Houlahan, Chrissy [D-PA-6]",2433
1155,THORNBERRY,R,"Rep. Thornberry, Mac [R-TX-13]",1155
2275,NEWHOUSE,R,"Rep. Newhouse, Dan [R-WA-4]",2275
2350,ARRINGTON,R,"Rep. Arrington, Jodey C. [R-TX-19]",2350
2398,CASTEN,D,"Rep. Casten, Sean [D-IL-6]",2398
2150,MALONEY,D,"Rep. Maloney, Sean Patrick [D-NY-18]",2150
2119,FRANKEL,D,"Rep. Frankel, Lois [D-FL-21]",2119
2391,SHALALA,D,"Rep. Shalala, Donna E. [D-FL-27]",2391
2102,BERA,D,"Rep. Bera, Ami [D-CA-7]",2102
2310,CARBAJAL,D,"Rep. Carbajal, Salud O. [D-CA-24]",2310
2229,AGUILAR,D,"Rep. Aguilar, Pete [D-CA-31]",2229
2457,WEXTON,D,"Rep. Wexton, Jennifer [D-VA-10]",2457
1593,THOMPSON,D,"Rep. Thompson, Mike [D-CA-5]",1593
2149,JEFFRIES,D,"Rep. Jeffries, Hakeem S. [D-NY-8]",2149
165,CALVERT,R,"Rep. Calvert, Ken [R-CA-42]",165
2226,GALLEGO,D,"Rep. Gallego, Ruben [D-AZ-7]",2226
1781,LIPINSKI,D,"Rep. Lipinski, Daniel [D-IL-3]",1781
2334,MITCHELL,R,"Rep. Mitchell, Paul [R-MI-10]",2334
1835,PERLMUTTER,D,"Rep. Perlmutter, Ed [D-CO-7]",1835
1994,SCHWEIKERT,R,"Rep. Schweikert, David [R-AZ-6]",1994
2231,TORRES,D,"Rep. Torres, Norma J. [D-CA-35]",2231
1722,SCOTT,D,"Rep. Scott, David [D-GA-13]",1722
2338,GOTTHEIMER,D,"Rep. Gottheimer, Josh [D-NJ-5]",2338
2127,BUSTOS,D,"Rep. Bustos, Cheri [D-IL-17]",2127
709,LOWEY,D,"Rep. Lowey, Nita M. [D-NY-17]",709
1641,DAVIS,D,"Rep. Davis, Susan A. [D-CA-53]",1641
2434,MEUSER,R,"Rep. Meuser, Daniel [R-PA-9]",2434
2325,KRISHNAMOORTHI,D,"Rep. Krishnamoorthi, Raja [D-IL-8]",2325
2428,DELGADO,D,"Rep. Delgado, Antonio [D-NY-19]",2428
1596,WALDEN,R,"Rep. Walden, Greg [R-OR-2]",1596
2202,NORCROSS,D,"Rep. Norcross, Donald [D-NJ-1]",2202
2429,BRINDISI,D,"Rep. Brindisi, Anthony [D-NY-22]",2429
2346,SMUCKER,R,"Rep. Smucker, Lloyd [R-PA-11]",2346
1675,LARSEN,D,"Rep. Larsen, Rick [D-WA-2]",1675
1693,CASE,D,"Rep. Case, Ed [D-HI-1]",1693
2312,CORREA,D,"Rep. Correa, J. Luis [D-CA-46]",2312
1955,OLSON,R,"Rep. Olson, Pete [R-TX-22]",1955
2443,CRENSHAW,R,"Rep. Crenshaw, Dan [R-TX-2]",2443
2061,FLEISCHMANN,R,"Rep. Fleischmann, Charles J. ""Chuck"" [R-TN-3]",2061
1909,HUNTER,R,"Rep. Hunter, Duncan D. [R-CA-50]",1909
1487,GRANGER,R,"Rep. Granger, Kay [R-TX-12]",1487
2331,BROWN,D,"Rep. Brown, Anthony G. [D-MD-4]",2331
1806,MARCHANT,R,"Rep. Marchant, Kenny [R-TX-24]",1806
1741,TURNER,R,"Rep. Turner, Michael R. [R-OH-10]",1741
2035,PALAZZO,R,"Rep. Palazzo, Steven M. [R-MS-4]",2035
2458,SCHRIER,D,"Rep. Schrier, Kim [D-WA-8]",2458
2381,PORTER,D,"Rep. Porter, Katie [D-CA-45]",2381
2320,DEMINGS,D,"Rep. Demings, Val Butler [D-FL-10]",2320
2236,CARTER,R,"Rep. Carter, Earl L. ""Buddy"" [R-GA-1]",2236
1803,GREEN,D,"Rep. Green, Al [D-TX-9]",1803
2104,SWALWELL,D,"Rep. Swalwell, Eric [D-CA-15]",2104
2438,TIMMONS,R,"Rep. Timmons, William R. IV [R-SC-4]",2438
2392,MCBATH,D,"Rep. McBath, Lucy [D-GA-6]",2392
2471,KELLER,R,"Rep. Keller, Fred [R-PA-12]",2471
2413,PHILLIPS,D,"Rep. Phillips, Dean [D-MN-3]",2413
2459,STEIL,R,"Rep. Steil, Bryan [R-WI-1]",2459
2452,MCADAMS,D,"Rep. McAdams, Ben [D-UT-4]",2452
